month_reported,state,pcode1,municipality,pcode2,parrish,pcode3,location,latitude,longitude,disaggregation,beneficiaries
2020-10-31T00:00:00Z,falcon,VE11,miranda,VE1114,san antonio,VE111401,11 liceo nacional zumurucuare,11.4128,-69.6578,f_19_and_older,3
2020-10-31T00:00:00Z,falcon,VE11,miranda,VE1114,san antonio,VE111401,11 liceo nacional zumurucuare,11.4128,-69.6578,m_12_17,60
2020-10-31T00:00:00Z,falcon,VE11,miranda,VE1114,san antonio,VE111401,11 liceo nacional zumurucuare,11.4128,-69.6578,m_19_and_older,1
2020-10-31T00:00:00Z,falcon,VE11,miranda,VE1114,san antonio,VE111401,11ceis nino simon,-69.7203,11.3827,f_19_and_older,6
2020-10-31T00:00:00Z,falcon,VE11,miranda,VE1114,san antonio,VE111401,11ceis nino simon,-69.7203,11.3827,f_3_6,112
2020-10-31T00:00:00Z,falcon,VE11,miranda,VE1114,san antonio,VE111401,11ceis nino simon,-69.7203,11.3827,m_19_and_older,1
2020-10-31T00:00:00Z,falcon,VE11,miranda,VE1114,san antonio,VE111401,11ceis nino simon,-69.7203,11.3827,m_3_6,110
2020-10-31T00:00:00Z,falcon,VE11,miranda,VE1114,san antonio,VE111401,12 ceis las eugenia,69.6511,11.41,f_19_and_older,1
2020-10-31T00:00:00Z,falcon,VE11,miranda,VE1114,san antonio,VE111401,12 ceis las eugenia,69.6511,11.41,f_3_6,27
2020-10-31T00:00:00Z,falcon,VE11,miranda,VE1114,san antonio,VE111401,12 ceis las eugenia,69.6511,11.41,m_3_6,24
2020-10-31T00:00:00Z,falcon,VE11,miranda,VE1114,san antonio,VE111401,12 ceis san antonio,-69.671,11.4222,f_19_and_older,6
2020-10-31T00:00:00Z,falcon,VE11,miranda,VE1114,san antonio,VE111401,12 ceis san antonio,-69.671,11.4222,f_3_6,121
2020-10-31T00:00:00Z,falcon,VE11,miranda,VE1114,san antonio,VE111401,12 ceis san antonio,-69.671,11.4222,m_19_and_older,1
2020-10-31T00:00:00Z,falcon,VE11,miranda,VE1114,san antonio,VE111401,12 ceis san antonio,-69.671,11.4222,m_3_6,97
2020-10-31T00:00:00Z,falcon,VE11,miranda,VE1114,san antonio,VE111401,13 ceis cruz verde,-69.6567,11.4108,f_19_and_older,8
2020-10-31T00:00:00Z,falcon,VE11,miranda,VE1114,san antonio,VE111401,13 ceis cruz verde,-69.6567,11.4108,f_3_6,158
2020-10-31T00:00:00Z,falcon,VE11,miranda,VE1114,san antonio,VE111401,13 ceis cruz verde,-69.6567,11.4108,m_19_and_older,2
2020-10-31T00:00:00Z,falcon,VE11,miranda,VE1114,san antonio,VE111401,13 ceis cruz verde,-69.6567,11.4108,m_3_6,157
2020-10-31T00:00:00Z,falcon,VE11,miranda,VE1114,san antonio,VE111401,2 liceo nacional jebe viejo,11.3931,-69.7014,f_12_17,206
2020-10-31T00:00:00Z,falcon,VE11,miranda,VE1114,san antonio,VE111401,2 liceo nacional jebe viejo,11.3931,-69.7014,f_19_and_older,10
2020-10-31T00:00:00Z,falcon,VE11,miranda,VE1114,san antonio,VE111401,2 liceo nacional jebe viejo,11.3931,-69.7014,m_12_17,184
2020-10-31T00:00:00Z,falcon,VE11,miranda,VE1114,san antonio,VE111401,2 liceo nacional jebe viejo,11.3931,-69.7014,m_19_and_older,3
2020-06-30T00:00:00Z,bolivar,VE07,caroni,VE0701,once de abril,VE070104,25 de marzo,8.38,-62.62,f_12_17,125
2020-06-30T00:00:00Z,bolivar,VE07,caroni,VE0701,once de abril,VE070104,25 de marzo,8.38,-62.62,f_18_19,33
2020-06-30T00:00:00Z,bolivar,VE07,caroni,VE0701,once de abril,VE070104,25 de marzo,8.38,-62.62,f_19_and_older,594
2020-06-30T00:00:00Z,bolivar,VE07,caroni,VE0701,once de abril,VE070104,25 de marzo,8.38,-62.62,f_3_6,183
2020-06-30T00:00:00Z,bolivar,VE07,caroni,VE0701,once de abril,VE070104,25 de marzo,8.38,-62.62,f_7_12,254
2020-06-30T00:00:00Z,bolivar,VE07,caroni,VE0701,once de abril,VE070104,25 de marzo,8.38,-62.62,m_12_17,139
2020-06-30T00:00:00Z,bolivar,VE07,caroni,VE0701,once de abril,VE070104,25 de marzo,8.38,-62.62,m_18_19,49
2020-06-30T00:00:00Z,bolivar,VE07,caroni,VE0701,once de abril,VE070104,25 de marzo,8.38,-62.62,m_19_and_older,594
2020-06-30T00:00:00Z,bolivar,VE07,caroni,VE0701,once de abril,VE070104,25 de marzo,8.38,-62.62,m_3_6,227
2020-06-30T00:00:00Z,bolivar,VE07,caroni,VE0701,once de abril,VE070104,25 de marzo,8.38,-62.62,m_7_12,262
2020-10-31T00:00:00Z,falcon,VE11,miranda,VE1114,san antonio,VE111401,3 upe el recreo,NA,NA,f_19_and_older,7
2020-10-31T00:00:00Z,falcon,VE11,miranda,VE1114,san antonio,VE111401,3 upe el recreo,NA,NA,f_7_12,150
2020-10-31T00:00:00Z,falcon,VE11,miranda,VE1114,san antonio,VE111401,3 upe el recreo,NA,NA,m_19_and_older,2
2020-10-31T00:00:00Z,falcon,VE11,miranda,VE1114,san antonio,VE111401,3 upe el recreo,NA,NA,m_7_12,110
