mes_solo,estado,pcode1,municipio,pcode2,parroquia,pcode3,ubicacion,latitud,longitud,desagregacion,beneficiarios
2020-10-31T00:00:00Z,BOLIVAR,VE07,CEDENO,VE0702,CAPITAL CEDENO,VE070201,UENB NATALIO LORETO VASQUEZ,7.652001,-66.171447,m_3_6,20
2020-10-31T00:00:00Z,BOLIVAR,VE07,CEDENO,VE0702,CAPITAL CEDENO,VE070201,UENB NATALIO LORETO VASQUEZ,7.652001,-66.171447,m_7_12,46
2020-10-31T00:00:00Z,BOLIVAR,VE07,CEDENO,VE0702,CAPITAL CEDENO,VE070201,UENB NATALIO LORETO VASQUEZ,7.652001,-66.171447,m_mayores_de_19,1
2020-01-31T00:00:00Z,MIRANDA,VE15,LANDER,VE1512,LA DEMOCRACIA,VE151202,UENB NEGRA HIPOLITA,NA,NA,f_12_17,29.4
2020-01-31T00:00:00Z,MIRANDA,VE15,LANDER,VE1512,LA DEMOCRACIA,VE151202,UENB NEGRA HIPOLITA,NA,NA,f_3_6,12.75
2020-01-31T00:00:00Z,MIRANDA,VE15,LANDER,VE1512,LA DEMOCRACIA,VE151202,UENB NEGRA HIPOLITA,NA,NA,f_7_12,29.4
2020-01-31T00:00:00Z,MIRANDA,VE15,LANDER,VE1512,LA DEMOCRACIA,VE151202,UENB NEGRA HIPOLITA,NA,NA,m_3_6,12.25
2020-09-30T00:00:00Z,MIRANDA,VE15,PAZ CASTILLO,VE1515,SANTA LUCIA,VE151501,UENB PETRERITO,10.3,-66.659,f_mayores_de_19,1
2020-09-30T00:00:00Z,MIRANDA,VE15,CRISTOBAL ROJAS,VE1508,CHARALLAVE,VE150801,UENB PROFESOR ALBERTO LOVERA,10.249,-66.848,f_mayores_de_19,1
2020-09-30T00:00:00Z,MIRANDA,VE15,LOS SALIAS,VE1513,SAN ANTONIO DE LOS ALTOS,VE151301,UENB ROMULO GALLEGOS,10.39,-66.97,m_mayores_de_19,2
2020-11-30T00:00:00Z,DELTA AMACURO,VE10,ANTONIO DIAZ,VE1001,PADRE BARRAL,VE100105,UENB SAN FRANCISCO DE GUAYO,9.02398,-60.887,f_7_12,90
2020-11-30T00:00:00Z,DELTA AMACURO,VE10,ANTONIO DIAZ,VE1001,PADRE BARRAL,VE100105,UENB SAN FRANCISCO DE GUAYO,9.02398,-60.887,m_7_12,90
2020-10-31T00:00:00Z,DELTA AMACURO,VE10,ANTONIO DIAZ,VE1001,PADRE BARRAL,VE100105,UENB SAN FRANCISCO DE GUAYO.,9.02398,-60.887,f_12_17,72
2020-10-31T00:00:00Z,DELTA AMACURO,VE10,ANTONIO DIAZ,VE1001,PADRE BARRAL,VE100105,UENB SAN FRANCISCO DE GUAYO.,9.02398,-60.887,m_12_17,58
2020-09-30T00:00:00Z,MIRANDA,VE15,GUAICAIPURO,VE1510,LOS TEQUES,VE151001,UENB TACATA,10.36,-67.04,f_mayores_de_19,1
2020-09-30T00:00:00Z,MIRANDA,VE15,ZAMORA,VE1521,BOLIVAR,VE152102,UENB TERESA DE LA PARRA,10.4706335,-66.6520632,f_mayores_de_19,1
2020-10-31T00:00:00Z,ZULIA,VE23,SAN FRANCISCO,VE2317,LOS CORTIJOS,VE231705,UENB VICTOR RAUL SOTO,11.65,NA,f_3_6,54
2020-10-31T00:00:00Z,ZULIA,VE23,SAN FRANCISCO,VE2317,LOS CORTIJOS,VE231705,UENB VICTOR RAUL SOTO,11.65,NA,f_7_12,152
2020-10-31T00:00:00Z,ZULIA,VE23,SAN FRANCISCO,VE2317,LOS CORTIJOS,VE231705,UENB VICTOR RAUL SOTO,11.65,NA,m_3_6,57
2020-10-31T00:00:00Z,ZULIA,VE23,SAN FRANCISCO,VE2317,LOS CORTIJOS,VE231705,UENB VICTOR RAUL SOTO,11.65,NA,m_7_12,158
2020-09-30T00:00:00Z,MIRANDA,VE15,ZAMORA,VE1521,GUATIRE,VE152101,UEP COLEGIO VILLA HEROICA,10.4654835,-66.5418288,f_mayores_de_19,1
2020-11-30T00:00:00Z,BOLIVAR,VE07,SUCRE,VE0710,ARIAPO,VE071002,UNE LA ESMERALDA,7.54979,-64.318,f_3_6,23
2020-11-30T00:00:00Z,BOLIVAR,VE07,SUCRE,VE0710,ARIAPO,VE071002,UNE LA ESMERALDA,7.54979,-64.318,f_7_12,56
2020-11-30T00:00:00Z,BOLIVAR,VE07,SUCRE,VE0710,ARIAPO,VE071002,UNE LA ESMERALDA,7.54979,-64.318,f_mayores_de_19,4
2020-11-30T00:00:00Z,BOLIVAR,VE07,SUCRE,VE0710,ARIAPO,VE071002,UNE LA ESMERALDA,7.54979,-64.318,m_3_6,21
2020-11-30T00:00:00Z,BOLIVAR,VE07,SUCRE,VE0710,ARIAPO,VE071002,UNE LA ESMERALDA,7.54979,-64.318,m_7_12,60
2020-11-30T00:00:00Z,BOLIVAR,VE07,SUCRE,VE0710,ARIAPO,VE071002,UNE LA ESMERALDA,7.54979,-64.318,m_mayores_de_19,1
2020-02-29T00:00:00Z,ZULIA,VE23,MARA,VE2312,LA SIERRITA,VE231202,UNIDAD EDUCATIVA  ARQUIDIOCESA INTERCULTURAL BILIGUE ENDER ENRIQUE AVILA,10.8276,-71.8644,f_12_17,75
2020-02-29T00:00:00Z,ZULIA,VE23,MARA,VE2312,LA SIERRITA,VE231202,UNIDAD EDUCATIVA  ARQUIDIOCESA INTERCULTURAL BILIGUE ENDER ENRIQUE AVILA,10.8276,-71.8644,f_3_6,16
2020-02-29T00:00:00Z,ZULIA,VE23,MARA,VE2312,LA SIERRITA,VE231202,UNIDAD EDUCATIVA  ARQUIDIOCESA INTERCULTURAL BILIGUE ENDER ENRIQUE AVILA,10.8276,-71.8644,f_7_12,76
2020-02-29T00:00:00Z,ZULIA,VE23,MARA,VE2312,LA SIERRITA,VE231202,UNIDAD EDUCATIVA  ARQUIDIOCESA INTERCULTURAL BILIGUE ENDER ENRIQUE AVILA,10.8276,-71.8644,f_mayores_de_19,4
2020-02-29T00:00:00Z,ZULIA,VE23,MARA,VE2312,LA SIERRITA,VE231202,UNIDAD EDUCATIVA  ARQUIDIOCESA INTERCULTURAL BILIGUE ENDER ENRIQUE AVILA,10.8276,-71.8644,m_12_17,87
2020-02-29T00:00:00Z,ZULIA,VE23,MARA,VE2312,LA SIERRITA,VE231202,UNIDAD EDUCATIVA  ARQUIDIOCESA INTERCULTURAL BILIGUE ENDER ENRIQUE AVILA,10.8276,-71.8644,m_3_6,14
2020-02-29T00:00:00Z,ZULIA,VE23,MARA,VE2312,LA SIERRITA,VE231202,UNIDAD EDUCATIVA  ARQUIDIOCESA INTERCULTURAL BILIGUE ENDER ENRIQUE AVILA,10.8276,-71.8644,m_7_12,109
2020-11-30T00:00:00Z,AMAZONAS,VE02,ATURES,VE0203,FERNANDO GIRON TOVAR,VE020300,"UNIDAD EDUCATIVA ""AMAZONAS""",NA,NA,f_12_17,79
2020-11-30T00:00:00Z,AMAZONAS,VE02,ATURES,VE0203,FERNANDO GIRON TOVAR,VE020300,"UNIDAD EDUCATIVA ""AMAZONAS""",NA,NA,f_7_12,159
2020-11-30T00:00:00Z,AMAZONAS,VE02,ATURES,VE0203,FERNANDO GIRON TOVAR,VE020300,"UNIDAD EDUCATIVA ""AMAZONAS""",NA,NA,m_12_17,88
2020-11-30T00:00:00Z,AMAZONAS,VE02,ATURES,VE0203,FERNANDO GIRON TOVAR,VE020300,"UNIDAD EDUCATIVA ""AMAZONAS""",NA,NA,m_7_12,166
2020-11-30T00:00:00Z,AMAZONAS,VE02,ATURES,VE0203,LUIS ALBERTO GOMEZ,VE020300,"UNIDAD EDUCATIVA ""AUGUSTO MENDEZ BALDOMERO""",NA,NA,f_3_6,34
2020-11-30T00:00:00Z,AMAZONAS,VE02,ATURES,VE0203,LUIS ALBERTO GOMEZ,VE020300,"UNIDAD EDUCATIVA ""AUGUSTO MENDEZ BALDOMERO""",NA,NA,f_7_12,91
2020-11-30T00:00:00Z,AMAZONAS,VE02,ATURES,VE0203,LUIS ALBERTO GOMEZ,VE020300,"UNIDAD EDUCATIVA ""AUGUSTO MENDEZ BALDOMERO""",NA,NA,m_3_6,38
2020-11-30T00:00:00Z,AMAZONAS,VE02,ATURES,VE0203,LUIS ALBERTO GOMEZ,VE020300,"UNIDAD EDUCATIVA ""AUGUSTO MENDEZ BALDOMERO""",NA,NA,m_7_12,102
2020-11-30T00:00:00Z,AMAZONAS,VE02,ATURES,VE0203,LUIS ALBERTO GOMEZ,VE020300,"UNIDAD EDUCATIVA ""CHEJERUME""",NA,NA,f_12_17,31
2020-11-30T00:00:00Z,AMAZONAS,VE02,ATURES,VE0203,LUIS ALBERTO GOMEZ,VE020300,"UNIDAD EDUCATIVA ""CHEJERUME""",NA,NA,f_7_12,75
2020-11-30T00:00:00Z,AMAZONAS,VE02,ATURES,VE0203,LUIS ALBERTO GOMEZ,VE020300,"UNIDAD EDUCATIVA ""CHEJERUME""",NA,NA,m_12_17,35
